track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
couch / kiva,15WJjmXnd8aXQqcfa0Wr1k,2019-07-22T20:13:19Z,tv-guides . (mini-tape),2019-04-23,94936,47,mommy,0DJoMHFNyxWdoGqi8XMdfk,6956,63,"chillhop,lo-fi beats",0.688,0.0176,11,-14.425,1,0.156,0.6459999999999999,0.9359999999999999,0.0938,0.8440000000000001,79.176,4
breathing room,1ZBVb0F1iJNcVM3VOS59tM,2019-07-22T20:13:19Z,breathing room,2019-02-01,131804,48,Smeyeul.,4IXRiE1MOvty3H8tQ0KvTO,3663,57,"chillhop,lo-fi beats",0.585,0.222,2,-14.582,0,0.22699999999999998,0.895,0.9620000000000001,0.109,0.41,74.959,4
Bonfire,3N7AOCvKEKL9IEejj7TBIv,2019-07-22T20:13:19Z,Daily Route,2016-02-20,96660,50,Brenky,3U6rNiL0weudbwLofMicVq,2596,57,"chillhop,lo-fi beats",0.607,0.185,8,-11.91,1,0.379,0.857,0.9570000000000001,0.105,0.851,80.803,4
Hoxton Hoops,5oRqxClXoZB77vvENaqDAB,2019-07-22T20:13:19Z,Transit,2019-06-14,144746,44,FloFilz,39ZQx0618UYVBgGTDOJ2ds,32215,59,"chillhop,jazz boom bap,lo-fi beats",0.833,0.139,5,-13.579,0,0.191,0.861,0.863,0.106,0.608,88.154,4
Contigo,5bdAaOQbVKYQdmF72uVcub,2019-07-22T20:13:19Z,Sorry,2017-10-22,106666,52,emune,4gkhq1EjcLZjP60fbvOyJT,20667,54,"chillhop,lo-fi beats,phonk",0.643,0.231,7,-15.350999999999999,1,0.263,0.527,0.395,0.107,0.524,144.04399999999998,4
Spots,2JG967NjsOnJu2SC29BXlS,2019-07-22T20:13:19Z,Martian XMAS 2018,2018-12-14,34750,47,Moka Only,7G9ZUoEjbi5Z2bR5w60S0h,9100,42,"alternative hip hop,bc underground hip hop,canadian hip hop,jazz rap",0.68,0.27399999999999997,10,-14.523,0,0.14400000000000002,0.444,0.6809999999999999,0.10099999999999999,0.973,186.41299999999998,4
Trippin,1U3nc3GtOayqmzQFJ9fnsu,2019-07-22T20:13:19Z,Into The Deep,2017-02-28,87750,52,Smoke Trees,6cN5TvotJoRbhYHoCHw8BI,12923,57,"chillhop,lo-fi beats",0.775,0.348,6,-14.200999999999999,0,0.222,0.377,0.738,0.13699999999999998,0.5329999999999999,80.965,4
boardwalk,6CSAEJpYH1KIYU2O5CtDWP,2019-07-22T20:13:19Z,boardwalk,2018-06-30,133636,34,joeshort,5Fv1NLbpCj9pMsEps7KrO8,482,44,,0.8109999999999999,0.10300000000000001,2,-14.052999999999999,0,0.0894,0.11900000000000001,0.867,0.0947,0.4,87.976,4
Peach Garden,4Jd52gYKeBQxhODYUMHbPC,2019-07-22T20:13:19Z,KO-OP 2,2019-02-01,110986,48,Joe Corfield,4PTdN7iZceYLYGvOTxwAgl,4157,53,"chillhop,jazz boom bap,lo-fi beats",0.805,0.0828,2,-11.047,0,0.0496,0.784,0.828,0.0959,0.8340000000000001,88.243,4
after u,3z5SbHPfnH67GoEKTwpWGq,2019-07-22T20:13:19Z,handwarmers,2018-03-23,100120,49,jhfly,7D6kLgvRHr6DNDavc0LhvI,10871,62,"chillhop,lo-fi beats",0.541,0.15,2,-14.59,0,0.29600000000000004,0.19,0.87,0.10800000000000001,0.43,132.32299999999998,5
