track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Can't Keep Up,1RTd7pEwtSiC5Il8dj2CZQ,2019-04-30T06:17:34Z,Can't Keep Up,2019-04-19,199105,15,Jordan Rivers,5waxdfdLUPwiJYXTGF1WcM,170,9,,0.857,0.524,7,-10.489,1,0.425,0.21,0.0,0.094,0.391,140.40200000000002,4
Samurai,4H2GHbJNQfLPRky5Yj3BsY,2019-04-30T06:18:27Z,Samurai,2019-04-18,246465,9,Ritzy,3mt8qjjMqEpM6jMwmtrC4D,3,3,,0.583,0.953,9,-4.1819999999999995,0,0.0586,0.0135,0.0448,0.0926,0.405,149.988,4
Day By Day,7Jl3ivGVcjaNcfnXGOiGjr,2019-04-30T06:18:49Z,Day By Day,2019-04-17,247713,16,Danny Chen,7bcaeImcxpS7ssiRrXAmnm,1057,25,,0.434,0.746,0,-6.992000000000001,1,0.0488,0.00963,0.000303,0.10800000000000001,0.272,74.953,4
Clearly,1fxPBxSIO0FyuKPLQ1xp5k,2019-04-30T06:19:55Z,Clearly,2019-04-07,208770,36,L.V.,2OXrXkXCSWj8Ygy4AtANfd,19,25,,0.731,0.425,6,-8.297,0,0.0672,0.0273,0.0016600000000000002,0.11599999999999999,0.802,138.03,4
Cash-Out,51cgUd1AbRvRTJ4YYGKbw0,2019-04-30T06:20:44Z,Cash-Out,2019-03-20,225515,38,McWeezy,1hxN7sJdXhPSAFslOhPqtg,38,33,,0.5589999999999999,0.655,1,-7.1,1,0.247,0.0333,2.24e-06,0.294,0.218,77.811,4
Never Ends,3BCuR2zzOMUS5eT2eRiJw3,2019-04-30T06:20:56Z,Never Ends,2019-03-11,256769,14,1WayTKT,24ECtsocrQbVj10ENiM9xn,582,22,,0.6890000000000001,0.91,10,-2.44,0,0.0358,0.000791,0.11699999999999999,0.19899999999999998,0.41700000000000004,124.024,4
I Admit It,5P8eaAWs2kJeVduRxNmF6C,2019-04-30T06:21:07Z,UploadED,2018-09-27,279652,17,Eddy I.,1JqLCp7PYQfZQNoCPHvLAP,585,29,,0.7190000000000001,0.787,10,-3.259,0,0.0816,0.0701,0.0,0.266,0.478,140.035,4
Stronger Together,5zerDqYjxm4Wrx7LeNJAqc,2019-04-30T06:21:21Z,Stronger Together,2018-03-26,305331,7,MikeWave,3pQwkNWMS1ZzuLtKMPrOhY,9,2,,0.48700000000000004,0.725,0,-3.88,0,0.0485,0.00228,0.0,0.0664,0.33799999999999997,127.986,4
Some of My Thoughts,7B5aqSqTnZTXOssMpn1zAk,2019-04-30T06:23:14Z,Some of My Thoughts,2019-04-24,138095,8,Maddox.,1knRDpeiMPjR5JKOd0QR32,84,8,,0.461,0.419,7,-11.134,0,0.536,0.44299999999999995,0.7340000000000001,0.264,0.365,80.197,4
Summer of Love,6ZpX80KeWliOS2xBiQiaN4,2019-04-30T06:24:03Z,Summer of Love,2019-03-29,242047,37,Lou Ella,4LlJh7Tq2fJGfu0WrDJVvX,2466,27,,0.664,0.231,9,-12.696,0,0.0372,0.866,1.62e-05,0.0998,0.127,89.959,4
Blow the Whistle,0Agggo3UOcQePGZuCf9Wi2,2019-04-30T06:26:01Z,Blow the Whistle,2019-04-26,243958,16,Cheyenne Giles,2FoyDZAnGzikijRdXrocmj,3802,25,,0.8079999999999999,0.878,6,-4.062,0,0.11,0.00229,0.0205,0.27,0.309,125.98700000000001,3
Play Dis Shit,6FJftdPky1MKx9LiteJr2n,2019-04-30T06:26:22Z,Expensive Agent,2019-03-05,136003,8,$'Edout,3cnuMCaZKibilqbJ8wXpum,25,13,,0.773,0.618,0,-6.207999999999999,0,0.152,0.0672,9.3e-06,0.154,0.282,147.99200000000002,4
İstanbul'a,0mYAQDswentArkl8Oh20R4,2019-04-30T06:28:48Z,Punto Cero,2019-01-18,506400,20,Tuğçe Kurtiş,5cYodhg1fZFGKqCQmgNlZf,2197,30,turkish electronic,0.802,0.57,7,-9.074,1,0.0353,0.305,0.732,0.128,0.107,100.009,4
Frosty,4wbfI1nhRuWxVDAnJZ3Lxf,2019-04-30T06:29:28Z,LUCKY STRIKE,2019-04-29,170642,6,Doc. Gold Grill,3pTgImw5vQ9c7O4bOqwfYR,506,25,chillhop,0.54,0.45299999999999996,2,-15.479000000000001,1,0.0817,0.132,0.00315,0.612,0.36700000000000005,106.839,4
Bestia Muerta,6eIZIii9mozO0zWbUiHzrb,2019-04-30T07:19:52Z,Bestia Muerta,2019-01-19,223399,7,Jovani Vazquez,3jMZ07MMtNur0fPKgpzAhh,230,9,,0.7290000000000001,0.629,3,-7.989,0,0.068,0.0652,1.47e-05,0.12300000000000001,0.517,149.755,4
TRIP,5mDIiRLOu3XJqs5BejppwN,2019-04-30T07:23:51Z,TRIP,2019-03-28,195018,13,NGHTCRTL,5z3XEA18mPJ6T5So4ksjUu,8,4,,0.726,0.988,0,-4.26,1,0.0657,0.0576,0.0689,0.385,0.349,120.02,4
