track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Noche,5Ibw9ren0bTZPu73SNrYoy,2019-07-04T06:10:28Z,Noche,2019-06-08,206001,2,YXani,4nJaEONhZUkwJvbDgEzYEe,10,1,,0.74,0.56,11.0,-4.27,0.0,0.0371,0.48,0.0,0.0999,0.759,79.999,4.0
Look at Me,4lxwedTu8Ufuu5SrjRWSem,2019-07-04T06:10:50Z,The Rise of King Mushu,2019-06-01,178916,23,King Mushu,3jwEMAizyRlHi5gteMzyZ9,10,17,,0.852,0.71,9.0,-8.019,0.0,0.244,0.146,0.0,0.17,0.94,145.006,4.0
Bubble & Win - Remix,1ySQpIQnPLO5yBC65wA8Aj,2019-07-04T06:11:22Z,Bubble & Wine (Remix),2019-04-29,195036,14,DJ Hard2Def,3sTxCnRgsgME5jHwnxvGUk,92,26,basshall,0.868,0.855,10.0,-6.652,0.0,0.0844,0.0517,1.28e-05,0.281,0.92,106.98100000000001,4.0
Trance Nation (Can You Feel It),4buGUfO62hmus9EkoUjYnl,2019-07-04T06:11:49Z,Trance Nation (Can You Feel It),2019-05-12,192360,18,Jmuzikk,0jxr6wyskTjAuOzVVICzLT,49,9,,0.562,0.8320000000000001,7.0,-14.117,1.0,0.046,0.138,0.8109999999999999,0.185,0.875,130.03799999999998,4.0
Wide Open,5mRkoTx62E0sVK9bLbBiby,2019-07-04T06:23:05Z,You Can Dance If You Want To,2019-05-03,224842,0,Mark Unthank,6mvfgnVlPQHmlm1AJYYFEw,2,0,,0.6659999999999999,0.875,0.0,-6.165,1.0,0.032,0.0016,0.943,0.135,0.39299999999999996,128.00799999999998,4.0
Take You,1vHPHRIsDwEYahXhfuIU9t,2019-07-04T06:23:19Z,Take You,2019-06-21,238965,36,Lo Key,7f4oCSMrGIqpWq6ky8zvqn,389,37,,0.693,0.922,6.0,-7.194,1.0,0.315,0.0358,4.47e-05,0.32899999999999996,0.632,115.98,4.0
Chevy,77nOYtnEhUnhE5VbYujdEJ,2019-07-04T06:24:01Z,Chevy,2019-06-17,195056,0,HEXED,42irV3kF0OQ7kYIPyySIrV,1,0,,,,,,,,,,,,,
Symphony of Plants,4Etert7GHBl3bj5NMUy25D,2019-07-04T06:25:39Z,Sequoia,2019-04-30,234666,2,Muzik Genesis,6P3oRAMxN3x6RNxltsstoW,489,18,,0.563,0.552,4.0,-11.122,0.0,0.0318,0.804,0.904,0.129,0.501,90.038,4.0
Where Are You,4J0W1aA8sfBH75NMm0huZY,2019-07-04T06:26:32Z,Where Are You,2019-06-21,183936,15,KiddSpectro,1DGtPVqb8OmRKfbBj6mF05,34,7,,0.402,0.612,6.0,-8.294,0.0,0.0489,0.0803,5.9e-06,0.183,0.32299999999999995,84.00299999999999,4.0
Orchid Alkaline,0g9L9NvoGi5vnYVvCsEH7V,2019-07-04T06:27:46Z,Eleven | Eleven,2019-02-22,248000,1,Mithyka,5uQzTKDJV5OrPqhbfH4lBi,14,0,,0.753,0.767,9.0,-8.306000000000001,0.0,0.0583,0.475,0.86,0.113,0.7659999999999999,119.96799999999999,4.0
