track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Nightmare,340UVheS8z3ncW9TTUhAbc,2019-05-20T00:31:29Z,Nightmare,2019-05-17,231998,84,Halsey,26VFTg2z8YR0cCuwLzESi2,6240418,92,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop",0.611,0.622,9,-5.075,0,0.0734,0.0188,0,0.359,0.538,146.11,4
I Am,6z3K05xwAKuvmvtyrRZJYJ,2019-05-20T00:31:01Z,I Am,2019-05-15,206760,40,WAAX,1KaaogmGXWK1Qi3WR81Tmi,16938,46,"australian garage punk,australian indie,brisbane indie",0.357,0.837,4,-4.182,1,0.0744,0.000206,0.000165,0.103,0.389,168.002,4
RICKY,7K0iidDYDudSm9BoSt901M,2019-05-20T00:31:40Z,RICKY,2019-05-08,147866,74,Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,818267,77,"dark trap,drill,hip hop,miami hip hop,pop rap,rap,trap music,underground hip hop",0.776,0.562,9,-6.901,1,0.363,0.0399,0,0.138,0.521,169.03,4
Black Child,64uGDq9bunENFsA37qxrY7,2019-05-20T00:31:50Z,Place Of Dreams,2019-05-03,195000,30,Birdz,33eaeCB1rLpISBkZAd2xnG,1229,32,"australian hip hop,australian indigenous",0.651,0.791,9,-7.316,0,0.301,0.442,0,0.378,0.346,90.002,4
I Lost a Friend,49MMefftWPcltNP4OOJGSs,2019-05-20T00:30:39Z,I Lost a Friend,2019-05-03,237020,64,FINNEAS,37M5pPGs6V1fchFJSgCguX,93105,67,"indie cafe pop,la indie,pop",0.453,0.209,11,-11.917,1,0.223,0.587,0,0.119,0.216,169.316,4
No Complaints (feat. DMP Jefe),1k9QClt9wiMG0YOKPUNQbD,2019-05-20T00:30:49Z,No Complaints (feat. DMP Jefe),2019-05-03,194369,38,bLAck pARty,4C9Tvlt8v7d8R6h98FgdUy,36680,52,"alternative r&b,indie r&b",0.702,0.613,11,-9.872,0,0.115,0.327,9.56e-05,0.583,0.657,133.002,4
Between You & I,5bXNVJIJTnb1iaHKxTOKRh,2019-05-20T00:30:29Z,Between You & I,2019-05-10,253899,53,Kita Alexander,3CGuwWgoCYSO5Z72H5G2Ec,26841,54,"aussietronica,australian indie",0.567,0.888,7,-4.459,1,0.0474,0.133,0,0.219,0.525,125.046,4
Prey,6hZKcLpX0r18O4WVSq2fbe,2019-05-20T00:30:15Z,Prey,2019-05-17,200440,39,Tasman Keith,3Pe4IIW9HoZsmBlKa5G6I1,646,33,australian hip hop,0.838,0.831,4,-6.872,0,0.0965,0.362,0.0504,0.294,0.625,105.012,4
Nerve 2 Reverse,1wTzxBsOJvqz0zQZr5Tomd,2019-05-20T00:30:04Z,Nerve 2 Reverse,2019-04-30,126779,36,These New South Whales,0srVTNI2U8J7vytCTprEk4,3328,33,australian garage punk,0.374,0.905,7,-5.08,1,0.167,0.0103,0.000249,0.364,0.351,179.976,4
Evil Spider,3NqoZnyv3qLAM0y3CjB8l2,2019-05-13T01:05:05Z,Evil Spider,2019-05-09,153146,61,Bene,28OHQv3VZ2gifjWzrqBv1v,10609,60,nz pop,0.826,0.635,6,-5.844,0,0.106,0.309,0,0.139,0.538,105.971,4
Hey You,0soAgAXmRgBe1tpPZoq1lS,2019-05-13T01:04:56Z,Hey You,2019-05-08,278386,57,DOPE LEMON,7oZLKL1GjYiaAgssXsLmW8,113517,61,australian indie,0.771,0.425,9,-12.039,1,0.0277,0.259,0.46,0.106,0.84,102.613,4
You Little Beauty,44Lfefp20d2JE2EEvOnaXD,2019-05-13T01:04:42Z,You Little Beauty,2019-05-09,206587,61,FISHER,1VJ0briNOlXRtJUAzoUJdt,162814,73,house,0.927,0.953,6,-5.524,0,0.0915,0.00237,0.466,0.31,0.915,123.983,4
This Baby Don’t Cry,3dm59JCkJMWluH7n3bRzd4,2019-05-13T01:04:33Z,This Baby Don't Cry,2019-04-29,184133,54,K.Flay,0pCNk4D3E2xtszsm6hMsWr,236981,68,"escape room,hip pop,indie poptimism,modern rock",0.865,0.758,0,-6.485,1,0.0561,0.00968,0.0356,0.11,0.912,150.035,4
Trouble,3n92kZq33N9ETdxOwcXPZk,2019-05-13T01:04:23Z,Permanent Hermit,2019-05-03,144280,46,Ruby Fields,1nwPEi1UZdJtCxBqATpsq3,21466,54,"australian garage punk,australian hip hop,australian indie",0.426,0.837,7,-4.982,1,0.0589,0.00389,0.000945,0.164,0.392,95.933,4
Wrong One,3dmT0RFjIL4m5ReWDt96TA,2019-05-13T01:04:01Z,Wrong One,2019-05-08,218665,50,Seth Sentry,3N9qpKjXarCt5AIZRCeqr8,69886,54,"australian hip hop,australian indie,australian underground hip hop",0.581,0.691,11,-6.111,0,0.045,0.103,0,0.206,0.611,82.0,4
Dance Monkey,421leiR6jKlH5KDdwLYrOs,2019-05-13T01:03:50Z,Dance Monkey,2019-05-10,209754,58,Tones and I,2NjfBq1NflQcKSeiDooVjY,5933,58,australian pop,0.824,0.592,6,-6.4,0,0.0969,0.693,0.000158,0.178,0.54,98.074,4
How I Feel,0bd8fPw31qadTa9gK6bkya,2019-05-13T01:03:40Z,How I Feel,2019-05-10,197940,43,Good Doogs,77JIuKxP5Gs2Izi0GmiqZJ,5878,42,"australian garage punk,australian indie",0.339,0.93,11,-5.073,0,0.0443,1.78e-06,4.51e-05,0.153,0.753,180.07,4
Everything Is Better Without You,5y0mJycgTz5eE8v2wFIK8X,2019-05-13T01:03:29Z,Everything Is Better Without You,2019-05-07,169830,47,Kira Puru,4tqKQAZcPhjqMmHaVRGHaY,4911,45,australian electropop,0.737,0.551,0,-7.087,0,0.0298,0.156,0,0.064,0.764,118.013,4
Homicide,0Lw6aQcBFWTQ9m4MSwwwes,2019-05-13T01:03:15Z,Homicide,2019-05-03,245413,90,Logic,4xRYI6VqpkE3UwrDrAZL8L,3672334,91,"conscious hip hop,dmv rap,pop rap,rap",0.722,0.764,10,-5.656,0,0.398,0.145,0,0.171,0.796,139.831,4
Alligator,0Wtk7mGnWcDoJqgUVHIPW6,2019-05-13T01:03:02Z,Alligator,2019-05-03,184026,68,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,2551543,73,"folk-pop,indie folk,indie pop,metropopolis,modern rock,pop,stomp and holler",0.581,0.934,8,-5.511,1,0.0547,0.000169,0.00297,0.0901,0.391,120.024,4
Resolution,65fnTY0mjueJoZJZfd8yHg,2019-05-13T01:02:47Z,Resolution,2019-05-08,241161,52,SAFIA,1y07gMlsfAdz2KOvZzyUTB,89329,59,australian indie,0.701,0.433,8,-8.19,1,0.104,0.551,0.00949,0.0596,0.422,90.035,4
Gimme,14BPKhtTkVVTwSfWslRJW9,2019-05-06T01:03:27Z,Gimme,2019-04-29,219493,71,BANKS,2xe8IXgCTpwHE3eA9hTs4n,766917,69,"alternative r&b,dance pop,electropop,indie poptimism,indie r&b,indietronica,pop,r&b,tropical house,vapor soul",0.759,0.621,2,-5.233,0,0.0866,0.508,4.49e-05,0.265,0.612,120.053,4
EYES WIDE,2wvn9sI4pxAFrCySBSNCkz,2019-05-06T01:03:36Z,EYES WIDE,2019-04-26,238370,38,Bec Sandridge,693lRFCUH8BNpURQO9RMpt,5213,31,australian alternative pop,0.483,0.93,2,-4.891,1,0.0555,0.0293,7.85e-06,0.127,0.387,160.029,4
Nowhere to Go,7cnwTPuCdevRSusG4EzxKf,2019-05-06T01:03:48Z,Nowhere to Go,2019-05-02,204826,59,Hayden James,4csQIMQm6vI2A2SCVDuM2z,130258,68,"aussietronica,edm,gauze pop,house,tropical house,vapor soul",0.663,0.667,11,-5.606,0,0.0614,0.0845,2.42e-06,0.317,0.422,111.913,4
Miss Shiney,4QnKrqFiQwzKXOJ5sOk53u,2019-05-06T01:03:54Z,Miss Shiney,2019-05-03,192000,56,Kaiit,1lEiFY8tYuckyd67eGiaF1,23043,50,australian r&b,0.749,0.566,1,-7.793,1,0.268,0.409,0,0.0918,0.795,72.008,5
