track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bags,6X3FZtz4cKU2MKSQlGG9ZG,2019-06-03T04:03:02Z,Bags,2019-05-24,260519,69,Clairo,3l0CmX0FuQjFxr8SK7Vqag,487855,77,"bedroom pop,boston indie,pop",0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.99600000000001,4
Closer To The Sun,7CtVxDOnti17HLLVTii46F,2019-06-03T04:03:10Z,Florescence,2019-05-17,157480,38,Eat Your Heart Out,1Zj2DULoJ6vo0FZ2R8HM3i,12425,44,"anthem emo,pixie,pop emo",0.37200000000000005,0.9740000000000001,6,-4.293,1,0.14300000000000002,5.2300000000000004e-05,0.0,0.0664,0.138,169.957,4
Joke Ting (feat. Ari PenSmith),7K34SxFo620JWLO8BrxkFs,2019-06-03T04:03:21Z,Joke Ting (feat. Ari PenSmith),2019-05-31,179826,58,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,461670,75,"alternative r&b,dmv rap,hip hop,pop rap,rap,underground hip hop",0.825,0.614,5,-5.409,0,0.0418,0.223,4.96e-06,0.0909,0.684,140.026,4
Self-Immolate,5GbnqdwvpnPDFaMuh0Jvu1,2019-06-03T04:03:28Z,Self-Immolate,2019-05-29,268520,44,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn,320231,68,"australian indie,australian psych,neo-psychedelic",0.272,0.9009999999999999,2,-6.505,1,0.22399999999999998,0.000185,0.0134,0.0873,0.158,159.166,4
Cheap Queen,2U5Q0eGC03syuUie76vROa,2019-06-03T04:03:35Z,Cheap Queen,2019-05-31,161946,68,King Princess,6beUvFUlKliUYJdLOXNj9C,303730,74,"dance pop,electropop,indie cafe pop,nyc pop,pop",0.64,0.485,1,-7.358,1,0.19899999999999998,0.746,4.52e-05,0.115,0.449,87.00200000000001,4
Make Your Move,5gBTUPVWxpsiIiMLKKGgrR,2019-06-03T04:03:51Z,Make Your Move,2019-05-30,201506,48,Running Touch,5bdwzvp6eirvqh0TwOwjgE,23479,62,"aussietronica,australian indie",0.738,0.78,5,-6.65,0,0.0432,0.0161,1.39e-05,0.166,0.507,117.97399999999999,4
Parents,3zR5cAShCz1ugKIWXGTjI3,2019-06-03T04:04:00Z,Parents,2019-05-24,172026,68,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,213066,74,"british indie rock,modern rock",0.594,0.833,9,-4.287,0,0.0507,0.00967,0.0,0.3,0.599,82.041,4
Double Dreaming,1Zi8FgBKCYfgTDiWg7UAsI,2019-06-03T04:04:07Z,Double Dreaming,2019-05-30,188037,40,Bad//Dreems,54f24706ua34STMhWSzPV7,13527,40,"adelaide indie,australian garage punk,australian indie",0.598,0.856,4,-3.947,0,0.0636,0.000583,0.000587,0.126,0.29100000000000004,93.084,4
Just Exist,7Hzt5M3AYK5QuSGYBQqPhB,2019-06-03T04:04:18Z,Just Exist,2019-05-16,237085,42,Eliza & The Delusionals,5XOV5b7cxUgB9PcoLBn69l,1514,33,australian indie rock,0.542,0.872,9,-2.553,1,0.0402,0.0495,9.81e-05,0.0823,0.311,137.976,4
All My Friends,7sGTH1fber0bhncNMfNxmt,2019-06-03T04:04:28Z,All My Friends,2019-05-31,204626,67,Madeon,4pb4rqWSoGUgxm63xmJ8xc,442641,66,"big room,complextro,edm,electro house,electropop,filter house",0.669,0.757,8,-4.2589999999999995,0,0.0469,0.0248,0.0,0.28300000000000003,0.708,106.01799999999999,4
Ode To Artifice,2BxOokKVzYicxc7AX9Vb21,2019-06-03T04:04:35Z,Ode To Artifice,2019-05-20,165468,31,Samia,1Uk1GyijF6fSfX4mWq5bfR,9419,44,,0.6759999999999999,0.746,10,-7.047000000000001,1,0.0364,0.297,0.0,0.10400000000000001,0.602,128.003,4
My City,57l0mNOHHfXEu5fjeNxovB,2019-06-03T04:04:40Z,My City,2019-05-17,207281,39,Shadow,0X8YsieGthCs1x2oIoDf0X,1245,36,,0.863,0.7340000000000001,2,-7.492000000000001,1,0.305,0.402,0.0,0.107,0.444,129.969,4
