track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
11 Minutes (with Halsey feat. Travis Barker),4mGdjNMo0RonTlOEb7cYg4,2019-02-18T00:42:51Z,11 Minutes (with Halsey feat. Travis Barker),2019-02-14,239507,78,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,207024,73,"british indie rock,modern rock",0.46399999999999997,0.852,11,-3.804,1,0.067,0.0116,0.0,0.10800000000000001,0.233,160.075,4
When I'm Around You,2MYTYXJXUj3YeCsGfiIdRq,2019-02-11T03:33:35Z,When I’m Around You,2019-02-08,203782,60,Running Touch,5bdwzvp6eirvqh0TwOwjgE,23093,61,"aussietronica,australian indie",0.765,0.705,6,-6.482,1,0.0383,0.0733,7.75e-05,0.11199999999999999,0.797,117.009,4
Circles,14mBmB265dJ0UHPLXbbM6v,2019-01-21T00:27:58Z,Circles,2019-01-17,170600,47,Yours Truly,76NpRNEWMaNdOudixwOPRo,13592,47,"pixie,pop emo",0.511,0.917,1,-3.455,1,0.085,0.00013700000000000002,0.0,0.107,0.6990000000000001,166.047,4
medicine,03CbQgFxnBFoaaVJTfEqMD,2019-01-13T23:59:05Z,medicine,2019-01-03,227265,65,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,2364404,79,"melodic metalcore,metalcore,rock,screamo",0.615,0.858,0,-3.3,1,0.0396,0.0039299999999999995,0.0,0.0789,0.32299999999999995,97.038,4
By Myself,4il0aJS1INT1zQKMKqwZ1Q,2019-01-13T23:59:21Z,By Myself,2019-01-09,214640,45,FIDLAR,3P6duIn7oHeiBACZfYeNud,189934,60,"australian garage punk,garage rock,indie garage rock,modern rock,noise pop",0.632,0.899,7,-4.265,1,0.1,0.0041600000000000005,0.0,0.332,0.7709999999999999,120.976,4
Green Light,1n7F3PrF1pMDaTAHwYqFy4,2019-01-13T23:59:29Z,Green Light,2018-11-30,242508,38,Milan Ring,3byro7ByLeWjNoWLAfiq0b,2310,38,australian r&b,0.7090000000000001,0.563,3,-6.188,0,0.04,0.0021100000000000003,0.0671,0.18600000000000003,0.473,139.953,4
Wow.,6MWtB6iiXyIwun0YzU6DFP,2019-01-13T23:59:39Z,Wow.,2018-12-24,149520,93,Post Malone,246dkjvS1zLTtiykXe5h60,14169748,96,"pop,rap",0.833,0.539,11,-7.399,0,0.17800000000000002,0.163,2.1000000000000002e-06,0.10099999999999999,0.385,99.947,4
Heaven,2UdHJVyGLQvadlXlR1FhfK,2019-01-13T23:59:48Z,Heaven,2018-09-21,216665,35,San Mei,4IbFFaRjnH3yZGDmFtVzwG,2316,29,vapor pop,0.428,0.758,6,-4.865,1,0.0396,0.0008619999999999999,7.47e-06,0.21100000000000002,0.46,140.017,4
G.A.L.,1xhgAa8MGi8Qd8T1i1d5oD,2019-01-14T00:00:06Z,G.A.L.,2018-12-12,211449,50,Touch Sensitive,2OC53Inn0G9QwWM7CM0G5Z,37429,54,"aussietronica,australian indie,nu disco",0.43700000000000006,0.9590000000000001,10,-5.095,0,0.132,2.8199999999999998e-05,0.0157,0.22,0.17600000000000002,121.985,4
Daisy,6LCvTzXi4uDSwE5CZjeqM3,2019-01-14T00:00:18Z,Daisy,2019-01-10,380720,46,Pond,4skJp5OKvcc9eKokiuhi2s,160088,58,"indie pop,indie rock,indietronica,modern rock,neo-psychedelic",0.5660000000000001,0.7609999999999999,8,-6.598,1,0.0586,0.29100000000000004,0.00185,0.256,0.41700000000000004,125.00200000000001,4
Sculpted,6osZtQNIumOEMY9TWn6GMM,2019-01-14T00:00:31Z,Sculpted,2018-11-23,181263,48,Tobiahs,4eHzBO6qaL2wt35kENSbTs,1089,41,aussietronica,0.685,0.674,11,-9.652000000000001,0,0.0962,0.163,0.00618,0.207,0.49200000000000005,119.055,4
The Man Who Has Everything,3woRy7uxzl1lO2XO99oHsN,2018-12-10T21:47:55Z,The Man Who Has Everything,2018-11-30,218624,66,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,4042770,86,"chicago rap,conscious hip hop,hip hop,pop rap,rap",0.6859999999999999,0.469,1,-9.065,1,0.29100000000000004,0.612,0.0,0.121,0.156,72.998,4
