track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Can You Feel the Love Tonight,1zSKtBze2IReYU44W0lDzd,2019-07-13T01:02:04Z,The Lion King (Original Motion Picture Soundtrack),2019-07-11,182613,73,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19363710,90,"dance pop,pop,r&b",0.337,0.331,5,-10.16,1,0.0385,0.657,0,0.085,0.35,103.203,5
You've Got a Friend in Me,5aaUXcrsXI477I93yBE8lu,2019-07-13T01:01:45Z,Toy Story 4 (Original Motion Picture Soundtrack),2019-06-21,124386,63,Randy Newman,3HQyFCFFfJO3KKBlUfZsyW,110827,68,"disney,movie tunes,singer-songwriter",0.698,0.301,3,-13.063,1,0.03,0.82,2.16e-06,0.2,0.474,115.643,4
How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd,2019-07-13T01:01:45Z,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,163386,72,Auli'i Cravalho,5mnS9jJdKQQcRSqFu5YPVe,35579,69,"disney,hollywood,movie tunes,show tunes",0.576,0.319,4,-10.934,1,0.0518,0.603,0,0.173,0.0921,83.632,4
Hakuna Matata,1ymvyDsiAUbzEhmSkfCSYh,2019-07-13T01:02:04Z,The Lion King (Original Motion Picture Soundtrack),2019-07-11,251520,67,Billy Eichner,0FVsUxcFSlxwIM7Qs31s6J,229,67,,0.53,0.584,0,-11.891,1,0.218,0.274,0,0.158,0.575,81.854,4
"SPIRIT - From Disney's ""The Lion King""",1tC5WMSlsGDFfqnrquB1ty,2019-07-13T01:01:45Z,"SPIRIT (From Disney's ""The Lion King"")",2019-07-10,277030,75,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19363710,90,"dance pop,pop,r&b",0.448,0.435,10,-8.102,1,0.039,0.00988,0,0.0964,0.0466,80.849,4
You're Welcome,6U4VqEHy4n5VeiH4pQPL24,2019-07-13T01:01:45Z,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,163893,71,Dwayne Johnson,1T8S48bD91THNKBByWBDyn,10548,62,,0.782,0.751,5,-7.023,1,0.28,0.278,0,0.0367,0.688,135.277,4
I Just Can't Wait to Be King,2xUdYfY3LpJb4Iv37RypnO,2019-07-13T01:02:04Z,The Lion King (Original Motion Picture Soundtrack),2019-07-11,202986,68,JD McCrary,2wrxoZjEVKfJZhxCiqK0ju,985,63,,0.683,0.701,6,-8.041,1,0.131,0.143,0,0.618,0.751,99.023,4
"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",0qxtQ8rf3W1nId3D2r0xH4,2019-07-13T01:01:45Z,The Lion King,1994-01-01,170880,68,Jason Weaver,5UdPkKWd8YNR5xGcmqH9QJ,4083,66,movie tunes,0.625,0.52,6,-14.213,1,0.0586,0.294,5.99e-05,0.0951,0.902,98.819,4
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",3IPnBzGRMg6BfViFxxa0Gq,2019-07-13T01:01:45Z,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),2013-01-01,124733,65,Kristen Bell,2kHxkdiKCSnHMkhIgFBZaI,28975,66,"disney,movie tunes",0.737,0.637,6,-6.308,0,0.0735,0.262,0,0.319,0.537,100.033,4
"In Summer - From ""Frozen""/Soundtrack Version",6p6AMtWxEt4W2jc3HmpqdB,2019-07-13T01:01:45Z,Frozen (Original Motion Picture Soundtrack),2013-01-01,110986,53,Josh Gad,4dSQICBjdUIp5iK6RRU2bY,10654,63,"broadway,comic,hollywood,movie tunes,show tunes",0.5,0.342,7,-9.536,1,0.175,0.536,0,0.59,0.684,77.124,1
"A Whole New World - From ""Aladdin"" / Soundtrack Version",1hwdPQtFHISvZ9SXMkNrIK,2019-07-13T01:01:45Z,Aladdin Special Edition,2004-01-01,160800,65,Lea Salonga,1GlMjIezcLwV3OFlX0uXOv,89986,67,"hollywood,movie tunes,tagalog worship",0.284,0.24,0,-15.607,1,0.0385,0.831,5.79e-06,0.104,0.157,124.805,4
