track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Like I'm Gonna Lose You (feat. John Legend),3aD8cLO0ZZTLoHwF4pTu8d,2019-06-21T13:58:08Z,Valentine's Day - R&B Love,2018-02-02,222106,59,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,7482928,82,"dance pop,hip pop,pop,post-teen pop",0.574,0.528,0,-7.224,1,0.035,0.429,0,0.247,0.464,71.997,4
All of Me,4oyTkYNopVIPm7Ebah6H2F,2019-06-21T13:58:08Z,Valentine's Day - R&B Love,2018-02-02,270413,59,John Legend,5y2Xq6xcjJb2jVM54GHK3t,4573505,83,"neo mellow,neo soul,pop,r&b,urban contemporary",0.327,0.267,8,-7.109,1,0.0326,0.914,0,0.136,0.332,85.328,5
Say Something,5TvE3pk05pyFIGdSY9j4DJ,2019-06-21T13:58:08Z,Is There Anybody Out There? - Track by Track Commentary,2014-01-13,229400,70,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,334537,71,"neo mellow,piano rock,pop rock",0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3
Nothing Breaks Like a Heart - Acoustic Version,0K08V3QlZporxrJf8FIZ8M,2019-06-21T13:58:08Z,Nothing Breaks Like a Heart (Acoustic Version),2019-01-04,220940,61,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,574013,85,"dance pop,pop",0.647,0.385,7,-6.895,0,0.0296,0.656,0,0.298,0.505,113.844,4
Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,2019-06-21T13:58:08Z,Suncity,2018-10-19,209546,77,Khalid,6LuN9FCkKOj5PcnpouEgny,6933200,97,pop,0.54,0.439,10,-8.591,1,0.115,0.635,1.93e-05,0.0993,0.371,167.908,4
The Man Who Can't Be Moved,3nqqDo8CcCLke3ZoTgiOKf,2019-06-21T13:58:08Z,The Script,2008-07-14,241373,63,The Script,3AQRLZ9PuTAozP28Skbq8V,5172295,80,"celtic rock,dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop",0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,4
Love Me Anyway (feat. Chris Stapleton),0pwdJLLVxlJa1lnR9UeMZY,2019-06-21T13:58:08Z,Hurts 2B Human,2019-04-26,188120,67,P!nk,1KCSPY1glIKqW2TotWuXOR,6516868,88,"dance pop,pop,post-teen pop,r&b",0.368,0.321,3,-5.904,1,0.0272,0.769,0,0.135,0.0673,139.001,4
Just You and I,2n48BjaFSczfeIG3HaIaPv,2019-06-21T13:58:08Z,Just You and I,2019-01-11,174982,79,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,422123,80,"indie anthem-folk,pop",0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,4
Little Do You Know,1almCHdsfikRPfVB9VrEdT,2019-06-21T13:58:08Z,It's About Us,2014-10-06,185200,78,Alex & Sierra,58MLl9nC29IXbE4nEtuoP2,707042,71,"australian pop,dance pop,indie cafe pop,neo mellow,pop,post-teen pop,viral pop",0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,4
New Light,3bH4HzoZZFq8UpZmI2AMgV,2019-06-21T13:58:08Z,New Light,2018-05-10,216014,82,John Mayer,0hEurMDQu99nJRq8pTxO14,3798333,87,"neo mellow,pop,pop rock,singer-songwriter",0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,4
Lights Down Low,60vvp6UXG2KmLmrNvcVHa8,2019-06-21T13:58:08Z,Lights Down Low - EP,2016-10-14,225013,59,MAX,1bqxdqvUtPWZri43cKHac8,298782,79,"dance pop,indie poptimism,pop,post-teen pop,viral pop",0.622,0.571,0,-5.338,0,0.0493,0.0458,0,0.122,0.635,81.059,4
Consequences - orchestra,1ArLnG0bHaHPXqf08sEKM0,2019-06-21T13:58:08Z,Consequences (orchestra),2018-10-09,181913,74,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,10006177,88,"dance pop,pop,post-teen pop,r&b",0.547,0.289,0,-8.131,1,0.0348,0.645,0,0.148,0.213,104.851,3
Falling like the Stars,15xWRPHQMeqgdkGzInx3PY,2019-06-21T13:58:08Z,Falling like the Stars,2019-05-10,212720,83,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4103055,86,"dance pop,pop,post-teen pop,talent show",0.296,0.351,6,-9.538,1,0.0351,0.823,1.5e-06,0.11,0.19,177.596,3
Nothing Really Matters,7fWSIddv6LJG8ZXJFNVQyi,2019-06-21T13:58:08Z,Nothing Really Matters,2014-09-27,222041,61,Mr. Probz,33W1pnW9zScZtYTnAoWnOT,272470,71,tropical house,0.404,0.225,4,-8.829,1,0.0363,0.888,0,0.111,0.275,135.075,4
Help,7nAsBb127d2MAqVxcBEPC5,2019-06-21T13:58:08Z,Help,2019-04-19,191994,45,Milow,6mo0UbyIvIePdXNyLwQlk5,111318,65,"belgian pop,belgian rock,german pop",0.719,0.532,0,-6.903,1,0.0753,0.29,0,0.108,0.655,132.006,4
Who You Love,7IByJvSqRFltGyiiIiL4wn,2019-06-21T13:58:08Z,Paradise Valley,2013-08-16,249933,64,John Mayer,0hEurMDQu99nJRq8pTxO14,3798333,87,"neo mellow,pop,pop rock,singer-songwriter",0.694,0.351,9,-10.92,1,0.0382,0.813,0.00165,0.097,0.691,145.907,4
If I Ain't Got You,7m8PEWF1Qjo4BmcjEYsacr,2019-06-21T13:58:08Z,Valentine's Day - R&B Love,2018-02-02,229040,56,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,6262827,82,"hip pop,neo soul,pop,r&b,urban contemporary",0.578,0.404,7,-10.759,1,0.114,0.612,1.24e-05,0.106,0.197,118.378,3
Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,2019-06-21T13:58:08Z,Say You Won't Let Go,2016-09-09,211240,77,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4103055,86,"dance pop,pop,post-teen pop,talent show",0.4,0.564,10,-7.444,1,0.0523,0.693,0,0.0863,0.483,99.269,4
Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,2019-06-21T13:58:08Z,Ruin My Life,2018-10-18,190931,81,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5283638,85,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,4
Before I Go,5vlTxb7BP5DWzpw8RgnzxR,2019-06-21T13:58:08Z,Before I Go,2018-11-02,209424,68,Guy Sebastian,5PjekOABtfU2Kwo0AHVmci,172349,68,australian pop,0.408,0.519,11,-5.813,0,0.143,0.422,0,0.103,0.567,178.142,4
Hard Place - Single Version,56Rmib5mhCfiaSJqhLgEdW,2019-06-21T13:58:08Z,Hard Place,2019-02-25,210303,65,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,1491179,81,"pop,r&b",0.611,0.769,9,-4.044,1,0.112,0.143,2.77e-05,0.314,0.414,160.014,4
Elastic Heart - Piano Version,0udoMICxzaUbNUT8EVRq8B,2019-06-21T13:58:08Z,1000 Forms Of Fear (Deluxe Version),2015-05-01,250133,60,Sia,5WUlDfRSoLAfcVSX1WnrxN,12453234,90,"australian dance,australian pop,pop",0.44,0.306,9,-5.403,1,0.0377,0.903,0,0.0888,0.25,71.021,4
FOOLISH,1jY7v9jG7kuUOGT9vVR6vs,2019-06-21T13:58:08Z,THE LOVE TRAIN,2019-02-08,199211,62,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,7482928,82,"dance pop,hip pop,pop,post-teen pop",0.645,0.563,2,-5.155,0,0.0663,0.0285,0,0.15,0.555,107.885,4
Why Haven't I Met You?,5NACaWLnFkMDY5c4IUiqml,2019-06-21T13:58:08Z,Why Haven't I Met You?,2018-10-26,180480,65,Cameron Dallas,5s3rUylqooMyGsFE0rOFJT,379076,56,"dance pop,pop,post-teen pop,teen pop",0.702,0.473,3,-7.499,0,0.0421,0.204,0,0.0848,0.528,104.974,4
Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,2019-06-21T13:58:08Z,Nothing Breaks Like a Heart (feat. Miley Cyrus),2018-11-30,217466,84,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,574013,85,"dance pop,pop",0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,4
