artist,artist_id
Ryan Montbleau,5Q2ZtOZ0vOdtcjGDOq6ZQc
John Mayer,0hEurMDQu99nJRq8pTxO14
Mountain Man,5kmPNusdo1mCTyz4u1uEGm
Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr
Aaron Krause,52MFUXZatn0KsT2bdPQI2a
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
Eddie Berman,7FfxvcUIbQ1VxrApeoq8ql
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
Megan Davies,09kCHZp9iFO2FJNb9lR6G5
Lotte Kestner,0LmmhAkoebSsbFfgCybcGI
Kina Grannis,7h4j9YTJJuAHzLCc3KCvYu
Run River North,0INDB6Snts5NDbzh8jC3lk
Iron & Wine,4M5nCE77Qaxayuhp3fVn4V
Imaginary Future,470WlqN9HSRDGNaMufeHHF
Twin Bandit,0PFFKJfJZU5TbgQXIw8cBr
Saint Sister,7ufZdjYTNe1vzA9Z6Fek14
Gardiner Sisters,3J28FLi8jjXtUGWf69cP7I
Lissie,3j4FHbC5zwmYGJ7r0ZgaMt
Julia Sheer,4jHWpUyRI2rzJVimtasEBF
The Mayries,38SWPOPO1YqxUPnT4AAoID
Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg
I'm With Her,3oXddLOOjkoUuC2sX1RMdr
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc
Overcoats,2pst3pDewxsl4kJERuDZpp
Trampled by Turtles,3GjVVVcFmUgEJEAAsbGkf4
Bahamas,4C50EbCS11M0VbGyH3OfLt
Noah Guthrie,6b0Wy4mw8ePj9w2EX3s4V3
The Staves,5G49Sq5mMzAkGL4ZP6eVPY
Us The Duo,3QGKsAfhZdldQCLuLjk6zl
MisterWives,5ivCbtrcD5N4rD337xIb2z
Boyce Avenue,7CQwac16i1W5ej8YpuL3dv
First Aid Kit,21egYD1eInY6bGFcniCRT1
Rosie Carney,3Aut8hgiqZSy2qmJluZMU9
The Civil Wars,6J7rw7NELJUCThPbAfyLIE
The Hound + The Fox,6KxrjoB8dMcRC295reb2Us
Daniela Andrade,0WfaItAbs4vlgIA1cuqGtJ
Lisa Mitchell,53f2OKMfVLTsHFkGyA5dnz
Lucius,1WrqUPWlHN5FXCRcQgrkas
Sarah Jarosz,6nFBonVf7Lqaj05R0v5VGJ
Colin & Caroline,2Y4125mDrgQyPD7dt76Rtm
Branches,6sMpWUXJNv5pPggHyvqKw2
Ysabelle Cuevas,323nxrsc0C5JSsmlN2srN8
The Sweeplings,3fTedgf4fh8D3s41dP0HWt
Odina,2D0wm8aDnVrcljPwg2GM75
Joy Williams,4TCXgdDPm10ensLNCVnIYa
Freedom Fry,195hFqaTDENqLCcG8uGtM7
The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC
SOAK,4PLsMEk2DCRVlVL2a9aZAv
Anna Elizabeth Laube,6O0rWDT0LuZk9Cpe45kbcx
Madilyn Bailey,07r7OPIALkj6Icaoj4Kf5l
Joseph & Maia,2dXGyySsUY7yYzCfMf6OSZ
Erato,72T7KgrFiMTgXRWxfuDn5o
Zella Day,100sLnojEpcadRx4edEBA6
James TW,0B3N0ZINFWvizfa8bKiz4v
Taylor Swift,06HL4z0CvFAxyc27GXpf02
Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4
X Ambassadors,3NPpFNZtSTHheNBaWC82rB
Lennon & Maisy,720fJ5sGqAOhvU2IUypqIr
Alex Cornell,2zVCLRV59G7nPOoKxj4xyY
