artist,artist_id,date
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2019-05-12
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2019-05-12
Ava Max,4npEfmQ6YuiwW1GpUmaq3F,2019-05-12
Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,2019-05-12
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,2019-05-12
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,2019-05-12
Banx & Ranx,2uFC1dAj5b0YU7vulKNZ0p,2019-05-12
Jason Mraz,4phGZZrJZRo4ElhRtViYdl,2019-05-12
George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2019-05-12
Vance Joy,10exVja0key0uqUkk6LJRT,2019-05-12
Maisie Peters,2RVvqRBon9NgaGXKfywDSs,2019-05-12
James Arthur,4IWBUUAFIplrNtaOHcJPRM,2019-05-12
Galantis,4sTQVOfp9vEMCemLw50sbu,2019-05-12
Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So,2019-05-12
Sugar Ray,4uN3DsfENc7dp0OLO0FEIb,2019-05-12
Jess Glynne,4ScCswdRlyA23odg9thgIO,2019-05-12
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,2019-05-12
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,2019-05-12
MARINA,6CwfuxIqcltXDGjfZsMd9A,2019-05-12
Alphabeat,7Defmv25Kj9knpobhHIghm,2019-05-12
Rudimental,4WN5naL3ofxrVBgFpguzKo,2019-05-12
Rita Ora,5CCwRZC6euC8Odo6y9X8jr,2019-05-12
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,2019-05-12
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,2019-05-12
Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,2019-05-12
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,2019-05-12
Pretenders,0GByy3DcfbQwDvXGCWmzv9,2019-05-12
Keala Settle,7HV2RI2qNug4EcQqLbCAKS,2019-05-12
Ten Tonnes,4hfrzKkUsrb3Cz209SKxbo,2019-05-12
Paolo Nutini,7x5rK9BClDQ8wmCkYAGsQp,2019-05-12
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,2019-05-12
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2019-05-12
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,2019-05-12
Clean Bandit,6MDME20pz9RveH9rEXvrOM,2019-05-12
LÉON,4SqTiwOEdYrNayaGMkc7ia,2019-05-12
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,2019-05-12
Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,2019-05-12
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,2019-05-12
NONONO,513t0jZUP0K98C4h7KHtEb,2019-05-12
Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1,2019-05-12
Birdy,2WX2uTcsvV5OnS0inACecP,2019-05-12
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,2019-05-12
KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,2019-05-12
Toto,0PFtn5NtBbbUNbU9EAmIWF,2019-05-12
fun.,5nCi3BB41mBaMH9gfr6Su0,2019-05-12
Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,2019-05-12
ABBA,0LcJLqbBmaGUft1e9Mm8HV,2019-05-12
Madonna,6tbjWDEIzxoDsBA1FuhfPW,2019-05-12
Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,2019-05-12
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,2019-05-12
Ian Janco,7aV3497dprpnqVKw1UYtGc,2019-05-12
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,2019-05-12
Prince,5a2EaR3hamoenG9rDuVn8j,2019-05-12
Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,2019-05-12
Saint Motel,1dWEYMPtNmvSVaDNLgB6NV,2019-05-12
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,2019-05-12
Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,2019-05-12
Deee-Lite,4eQJIXFEujzhTVVS1gIfu5,2019-05-12
Barenaked Ladies,0dEvJpkqhrcn64d3oI8v79,2019-05-12
Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,2019-05-12
Alanis Morissette,6ogn9necmbUdCppmNnGOdi,2019-05-12
The B-52's,3gdbcIdNypBsYNu3iiCjtN,2019-05-12
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,2019-05-12
Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,2019-05-12
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,2019-05-12
CHIC,0Xf8oDAJYd2D0k3NLI19OV,2019-05-12
Sister Sledge,6gkWznnJkdkwRPVcmnrays,2019-05-12
a-ha,2jzc5TC5TVFLXQlBNiIUzE,2019-05-12
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,2019-05-12
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,2019-05-12
Lily Allen,13saZpZnCDWOI9D4IJhp1f,2019-05-12
Rufus,3MCjwjfIor5FkK3h639qkW,2019-05-12
Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,2019-05-12
Candi Staton,3S34Unhn5yRcaH5K9aU5Et,2019-05-12
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,2019-05-12
Lionel Richie,3gMaNLQm7D9MornNILzdSl,2019-05-12
The Monkees,320EPCSEezHt1rtbfwH6Ck,2019-05-12
Sam & Dave,2BVYdY4PyfCF9z4NrkhEB2,2019-05-12
Rusted Root,2M3vnW1p5w4uPRkLYTbvdB,2019-05-12
Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,2019-05-12
Annie Lennox,5MspMQqdVbdwP6ax3GXqum,2019-05-12
Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,2019-05-12
Junior Senior,7xNPROyVfkH4mcIxxCxySm,2019-05-12
Tina Turner,1zuJe6b1roixEKMOtyrEak,2019-05-12
Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,2019-05-19
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2019-05-26
Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,2019-06-09
Andy Grammer,2oX42qP5ineK3hrhBECLmj,2019-06-09
Sigrid,4TrraAsitQKl821DQY42cZ,2019-06-09
James Morrison,3LpLGlgRS1IKPPwElnpW35,2019-06-09
L Devine,5dhyUSoGhz79WTzP39vKs4,2019-06-23
Sam Feldt,20gsENnposVs2I4rQ5kvrf,2019-07-14
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,2019-07-14
Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,2019-07-14
Kygo,23fqKkggKUBHNkbKtXEls4,2019-07-21
Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,2019-07-28
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2019-07-28
Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,2019-07-28
Moloko,4aaBjq7VqqQvpSF69GglvO,2019-07-28
Plested,2nJYGgfTf2846LtVB3AES8,2019-07-28
Simply Red,1fa0cOhromAZdq2xRA4vv8,2019-07-28
Duffy,37NqXwtb6nIEqRt4EJSoIO,2019-07-28
Hard-FI,14Gi3Uph96lpNB3utkoVAD,2019-07-28
Conor Maynard,6mU8ucezzms5I2kNH6HNlu,2019-07-28
Talk Talk,7Fo8TAyGJr4VmhE68QamMf,2019-07-28
Elderbrook,2vf4pRsEY6LpL5tKmqWb64,2019-08-11
Tones and I,2NjfBq1NflQcKSeiDooVjY,2019-08-25
BTS,3Nrfpe0tUJi4K4DXYWgMUX,2019-05-12
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,2019-05-12
Khalid,6LuN9FCkKOj5PcnpouEgny,2019-05-12
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,2019-05-12
Kygo,23fqKkggKUBHNkbKtXEls4,2019-05-12
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2019-05-12
P!nk,1KCSPY1glIKqW2TotWuXOR,2019-05-12
SZA,7tYKF4w9nC0nq9CsPZTHyP,2019-05-12
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,2019-05-12
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2019-05-12
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,2019-05-12
Calvin Harris,7CajNmpbOovFoOoasH2HaY,2019-05-12
