track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
All This Love (feat. Harlœ),0nxYyX5PIHJqF4VSb4CIFV,2019-05-03T13:58:31Z,All This Love (feat. Harlœ),2019-05-03,164797,74,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,1982945,83,"dance pop,deep euro house,deep house,edm,german dance,pop,tropical house",0.469,0.801,5,-5.635,1,0.0834,0.0715,0,0.49,0.425,124.068,4
Vuelo,6xGANz6rNnjaZxwpyF8tUW,2019-05-10T07:18:53Z,Vuelo,2019-05-10,171433,38,LoaX,4uirC8jwtU1yVLDdsOzT0n,2735,37,deep big room,0.726,0.848,7,-4.467,0,0.0528,0.24,1.86e-05,0.124,0.394,96.962,4
Walk Away - Martin Jensen Remix,1AtsiK4pdi6Vl1nyYnglK1,2019-05-10T10:54:00Z,Walk Away (Martin Jensen Remix),2019-05-10,226146,53,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,209338,73,"deep euro house,german dance,tropical house",0.678,0.732,6,-5.716,0,0.0666,0.263,0,0.231,0.167,124.959,4
Don't Give Up On Me Now (with Julie Bergan),2ZEf4LZqhu9VbDx58rFKVn,2019-05-10T10:52:01Z,Don't Give Up On Me Now (with Julie Bergan),2019-05-10,127826,60,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1632149,82,"big room,dance pop,dutch house,edm,electro house,pop,pop edm,progressive electro house,tropical house",0.687,0.706,4,-5.357,1,0.0459,0.091,0,0.124,0.27,115.268,4
Torn (feat. Emelie Cyréus),4vzxxbTJeTTTwP8VglZ8Xd,2019-03-21T23:03:29Z,Torn (feat. Emelie Cyréus),2019-03-22,153333,51,Chad Cooper,5zJS9TctS8sQ8XidpVpfCU,1124,53,"deep tropical house,pop edm",0.668,0.824,5,-6.747,1,0.221,0.0749,0,0.069,0.255,108.135,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,2019-04-19T12:50:25Z,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215315,88,Kygo,23fqKkggKUBHNkbKtXEls4,4839102,88,"edm,pop,tropical house",0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,4
Waiting,78v8ad1iLTlfLbam4qvzNu,2019-05-17T06:39:30Z,Waiting,2019-05-17,205714,49,Vicetone,0daugAjUgbJSqdlyYNwIbT,256054,69,"big room,catstep,dance pop,edm,electro house,pop,pop edm,progressive electro house,tracestep,tropical house",0.651,0.7,1,-4.264,0,0.0318,0.352,0,0.061,0.214,104.964,4
Black Gasoline [Provi Remix],1qsexgIQui6hZ8tAGoEg4G,2019-04-26T15:31:17Z,Black Gasoline [Remixes],2019-04-26,190819,53,Mark Mendy,7AgS2ycsLUG0NPTY1AAboT,1867,49,,0.758,0.803,0,-5.466,0,0.0449,0.115,9.47e-06,0.291,0.769,122.0,4
Mistaken (feat. Alex Aris),18KjYhghq6K3ZmfcewWDp6,2019-04-05T10:59:28Z,Mistaken (feat. Alex Aris),2019-03-31,282480,73,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10028230,87,"big room,edm,pop,progressive house,tropical house",0.424,0.694,6,-4.912,0,0.0386,0.0573,0.000937,0.133,0.0801,128.034,4
Phone Down - Club Mix,5OdQuLfDo3keQcY1mNbmue,2019-04-26T13:19:05Z,Phone Down (Club Mix),2019-04-26,192750,43,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2804008,81,"edm,progressive house,progressive trance,trance",0.35,0.873,10,-6.03,0,0.0331,0.000538,0.0149,0.107,0.234,130.006,4
