track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Old Town Road,53CJANUxooaqGOtdsBTh7O,2019-05-10T11:08:25Z,Old Town Road,2019-03-14,113013,96,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,205380,90,country rap,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,4
Talk,0rTV5WefWd1J3OwIheTzxM,2019-05-10T11:08:25Z,Talk,2019-02-07,197487,90,Khalid,6LuN9FCkKOj5PcnpouEgny,6258258,98,pop,0.9,0.4,0,-8.443,1,0.124,0.0501,0,0.0876,0.338,136.001,4
Just You and I,2n48BjaFSczfeIG3HaIaPv,2019-05-10T11:08:25Z,Just You and I,2019-01-11,174982,81,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,386217,80,"indie anthem-folk,pop",0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,4
Wanting,5B3dsOvy6NjZJclttNUzR9,2019-05-10T11:08:25Z,Wanting,2019-04-23,234800,68,Not3s,40NRiKuuhj1pgGYppptlBO,220786,71,"grime,uk hip hop",0.679,0.791,4,-9.148,0,0.153,0.00722,1.02e-05,0.137,0.338,102.984,4
Don't Worry Bout Me,507tQXutCPYNFkpOq8tmKF,2019-05-10T11:08:25Z,Don't Worry Bout Me,2019-03-28,208811,83,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5014229,84,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.752,0.706,5,-6.274,1,0.0636,0.0797,0.000752,0.129,0.33,125.041,4
Vossi Bop,44ZJ4hLD5onikKsVLQaILr,2019-05-10T11:08:25Z,Vossi Bop,2019-04-26,196266,84,Stormzy,2SrSdSvpminqmStGELCSNd,784339,77,grime,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-05-10T11:08:25Z,Piece Of Your Heart,2019-02-01,152913,87,MEDUZA,0xRXCcSX89eobfrshSVdyu,6965,75,,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,2019-05-10T11:08:25Z,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215315,87,Kygo,23fqKkggKUBHNkbKtXEls4,4810338,88,"edm,pop,tropical house",0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,4
Walk Me Home,7DHApOHsIFo7EyfieArYGE,2019-05-10T11:08:25Z,Walk Me Home,2019-02-20,177390,88,P!nk,1KCSPY1glIKqW2TotWuXOR,6297151,87,"dance pop,pop,post-teen pop,r&b",0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,3
Late Night Feelings (feat. Lykke Li),7aQeWViSfRWSEwtJD86Eq0,2019-05-10T11:08:25Z,Late Night Feelings (feat. Lykke Li),2019-04-12,251028,76,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,536185,82,"dance pop,pop",0.688,0.729,4,-6.56,0,0.0573,0.437,0.00369,0.0928,0.469,110.055,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-05-10T11:08:25Z,"Don't Forget About Me, Demos",2018-10-16,177666,88,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,65254,76,alternative pop rock,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-05-10T11:08:25Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,84,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,9957835,87,"big room,edm,pop,progressive house,tropical house",0.726,0.722,5,-7.007,0,0.0456,0.173,1.03e-05,0.141,0.345,113.92,4
