track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Like I'm Gonna Lose You (feat. John Legend),3aD8cLO0ZZTLoHwF4pTu8d,2019-05-17T08:50:47Z,Valentine's Day - R&B Love,2018-02-02,222106,59,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,7349507,81,"dance pop,hip pop,pop,post-teen pop",0.574,0.528,0,-7.224,1,0.035,0.429,0,0.247,0.464,71.997,4
Say Something,5TvE3pk05pyFIGdSY9j4DJ,2019-05-17T08:50:47Z,Is There Anybody Out There? - Track by Track Commentary,2014-01-13,229400,69,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,327878,70,"neo mellow,piano rock,pop rock",0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3
Nothing Breaks Like a Heart - Acoustic Version,0K08V3QlZporxrJf8FIZ8M,2019-05-17T08:50:47Z,Nothing Breaks Like a Heart (Acoustic Version),2019-01-04,220940,62,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,538740,82,"dance pop,pop",0.647,0.385,7,-6.895,0,0.0296,0.656,0,0.298,0.505,113.844,4
All of Me,4oyTkYNopVIPm7Ebah6H2F,2019-05-17T08:50:47Z,Valentine's Day - R&B Love,2018-02-02,270413,58,John Legend,5y2Xq6xcjJb2jVM54GHK3t,4532353,82,"neo soul,pop,r&b,urban contemporary",0.327,0.267,8,-7.109,1,0.0326,0.914,0,0.136,0.332,85.328,5
Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,2019-05-17T08:50:47Z,Suncity,2018-10-19,209546,79,Khalid,6LuN9FCkKOj5PcnpouEgny,6349672,97,pop,0.54,0.439,10,-8.591,1,0.115,0.635,1.93e-05,0.0993,0.371,167.908,4
The Man Who Can't Be Moved,3nqqDo8CcCLke3ZoTgiOKf,2019-05-17T08:50:47Z,The Script,2008-07-14,241373,62,The Script,3AQRLZ9PuTAozP28Skbq8V,5070251,79,"celtic rock,dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop",0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,4
Love Me Anyway (feat. Chris Stapleton),0pwdJLLVxlJa1lnR9UeMZY,2019-05-17T08:50:47Z,Hurts 2B Human,2019-04-26,188120,67,P!nk,1KCSPY1glIKqW2TotWuXOR,6329937,88,"dance pop,pop,post-teen pop,r&b",0.368,0.321,3,-5.904,1,0.0272,0.769,0,0.135,0.0673,139.001,4
Just You and I,2n48BjaFSczfeIG3HaIaPv,2019-05-17T08:50:47Z,Just You and I,2019-01-11,174982,80,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,392165,80,"indie anthem-folk,pop",0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,4
Little Do You Know,1almCHdsfikRPfVB9VrEdT,2019-05-17T08:50:47Z,It's About Us,2014-10-06,185200,78,Alex & Sierra,58MLl9nC29IXbE4nEtuoP2,691620,70,"australian pop,dance pop,indie cafe pop,neo mellow,pop,post-teen pop,viral pop",0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,4
New Light,3bH4HzoZZFq8UpZmI2AMgV,2019-05-17T08:50:47Z,New Light,2018-05-10,216014,82,John Mayer,0hEurMDQu99nJRq8pTxO14,3703182,87,"neo mellow,pop,pop rock,singer-songwriter",0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,4
