track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-05-18T20:14:46Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,86,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10028509,87,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
Sundown,2GcFA2lRvsiq83UnWMGGeB,2019-05-18T20:14:46Z,Sundown,2019-05-03,178285,41,EAUXMAR,6jjKAAi2ahf5gQ37k7rJya,5446,41,,0.713,0.422,6,-6.623,1,0.0297,0.00283,0.658,0.181,0.67,104.969,4
Revolt,3DKKhdNzpFbRlo0XaaZBLk,2019-05-18T20:14:46Z,Revolt,2019-05-17,213142,44,Malaa,7w1eTNePApzDk8XtgykCPS,100796,58,"bass house,deep groove house,edm,electro house,electronic trap,house",0.737,0.905,4,-1.965,1,0.0785,0.00873,0.237,0.276,0.337,104.98,4
Bad Things,23xQhprR7H8nc7tfWb1OUC,2019-05-18T20:14:46Z,Decision / Bad Things,2019-05-17,172410,6,Do It Big,6cKCIKeLmobEx2SzYFwYT6,524,11,,0.737,0.904,4,-3.079,1,0.0481,0.0113,0.068,0.183,0.194,125.989,4
Biomes - Aparde Remix,4yR7pTHCELkXJme43MpBAn,2019-05-18T20:14:46Z,Reworks,2018-12-07,246330,27,James Heather,7GMpkbegUlL4UvUe5w47zu,4895,61,"compositional ambient,focus,neo-classical",0.737,0.29,8,-19.167,1,0.0471,0.632,0.841,0.0864,0.0363,114.998,3
Survive,4g9iLPrV982QeNXW2eOVYi,2019-05-18T20:14:46Z,Mad World,2019-03-13,261880,33,Dustycloud,5O9MafawyW4O2WhJQKXj2d,20947,48,"bass house,deep groove house,electro house",0.823,0.828,4,-5.692,1,0.128,0.174,0.842,0.123,0.0519,126.015,4
Infinite,2C8sg3Ae0bhfY9XtLlfUYj,2019-05-18T20:14:46Z,Infinite,2019-05-17,144375,32,Seth Hills,5nFt7a5Du2MkdAr1KniXh7,8476,44,"deep big room,electro house,sky room",0.615,0.868,9,-4.473,0,0.0407,0.00898,0.0343,0.103,0.193,128.033,4
Polaroid,1c9Ab333JCkkLsuUkujRu0,2019-05-18T20:14:46Z,Polaroid,2019-05-17,191120,10,Robbie Koex,4fzjmgxycHTet6Yyb8OXhL,540,26,,0.642,0.417,9,-8.945,0,0.23,0.598,0,0.313,0.327,80.141,4
Paradise,7tOnmXmui2wmZ51BF4wRFW,2019-05-18T20:14:46Z,Paradise,2019-04-26,217600,22,Luv Drunk,7MAiDLzdzC3GY8q6YlOXwD,225,25,,0.554,0.93,8,-4.578,1,0.2,0.00106,0.034,0.103,0.149,150.099,4
Deeper,5zfsSfHkzPrWth00BOj2qC,2019-05-18T20:14:46Z,Deeper,2019-05-17,214804,31,Todd Edwards,6MFopqejpmTUUZlcRmGzgg,8310,48,"speed garage,uk garage",0.768,0.62,9,-9.031,0,0.0322,0.0019,0.0199,0.212,0.576,126.022,4
