track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Higher (feat. Nipsey Hussle & John Legend),5FYvEl2ThSP9THRBuB1qRB,2019-05-17T08:53:48Z,Father Of Asahd,2019-05-17,176874,63,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,3914969,82,"dance pop,hip hop,miami hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.351,0.956,7,-1.996,1,0.245,0.0949,0,0.226,0.446,83.655,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-05-17T08:53:48Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,86,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10028240,87,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,2019-05-17T08:53:48Z,Old Town Road (Diplo Remix),2019-04-29,204026,74,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,228503,90,country rap,0.766,0.771,6,-9.108,1,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,4
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-05-17T09:39:14Z,11:11,2019-05-17,175733,67,Maluma,1r4hJ1h58CWwUQe3MxPuau,15468766,92,reggaeton,0.777,0.712,10,-4.84,1,0.277,0.217,0,0.091,0.68,95.692,4
Coming Down,1NaxD6BhOQ69C4Cdcx5jrP,2019-05-17T08:53:48Z,Coming Down,2019-04-05,167693,70,KIDDO,5pXe6yFchq1oyYK3rq2A8i,2465,60,scandipop,0.728,0.674,9,-5.382,1,0.0353,0.00129,6.16e-06,0.123,0.429,96.973,4
Afterhours,0bOLcsauquzlMWdaONJPyx,2019-05-17T08:53:48Z,Afterhours,2019-05-10,205360,62,teamwork.,6YbvyuBTs8JbVj7iyurrJe,253,50,,0.718,0.52,11,-5.632,0,0.0472,0.0769,0,0.339,0.763,102.975,4
Summer Lover (feat. Devin & Nile Rodgers),0JIcWmxwEpv740agHLbVB5,2019-05-17T08:53:48Z,Summer Lover (feat. Devin & Nile Rodgers),2019-04-12,194480,67,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,727209,74,"big room,dance pop,deep big room,edm,electro house,future house,house,progressive electro house,progressive house,tropical house",0.689,0.859,10,-4.708,0,0.0281,0.108,0.291,0.14,0.672,119.991,4
Hola Señorita,5vLEmh5EolySKTvXsyWSOg,2019-05-17T08:53:48Z,Ceinture noire (Transcendance),2019-04-25,206853,60,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,1575163,76,"french hip hop,rap conscient",0.588,0.796,0,-3.945,0,0.262,0.386,0,0.198,0.546,192.128,4
Never Go Back,2QrXzOqLCVDRZHkToA0tSR,2019-05-17T08:56:07Z,Never Go Back,2019-02-15,175424,81,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,228222,77,israeli pop,0.421,0.653,9,-4.85,0,0.398,0.0135,0,0.114,0.733,78.6,4
Purple Rain,4yagckU9T4Vmtb2gha4zlm,2019-05-17T12:19:16Z,Purple Rain,2019-05-17,164413,36,Guapo Lou,3nJlgBPACnoqUswTx9ogd8,1299,39,bayerischer rap,0.778,0.713,3,-4.547,1,0.0809,0.208,0,0.135,0.855,153.993,4
One,5C1TucCRf4Vjjree1OItyv,2019-05-17T08:53:59Z,Divinely Uninspired To A Hellish Extent,2019-05-17,179907,66,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,493713,85,"pop,uk pop",0.703,0.349,9,-7.106,1,0.0441,0.851,0,0.134,0.495,118.018,4
Recycled Youth,20jwgmwAeLlE0HK5aey04s,2019-05-17T08:53:48Z,Recycled Youth,2019-05-17,169800,36,Call Me Karizma,5fENlrINIVP0gJOtKxvORt,37927,59,minnesota hip hop,0.634,0.688,1,-5.889,1,0.347,0.0646,0,0.135,0.621,80.533,4
You Are The Night,5gD2NotKIsy9eq2Opk2gzv,2019-05-17T08:53:48Z,You Are The Night,2019-05-03,198933,38,Marc Scibilia,4CHiVarfTsFhkFOk5vHS77,13478,57,indiecoustica,0.532,0.577,4,-6.047,0,0.0282,0.0116,0,0.114,0.238,125.019,4
Falling like the Stars,15xWRPHQMeqgdkGzInx3PY,2019-05-17T08:53:48Z,Falling like the Stars,2019-05-10,212720,77,James Arthur,4IWBUUAFIplrNtaOHcJPRM,3934730,85,"dance pop,pop,post-teen pop,talent show",0.296,0.351,6,-9.538,1,0.0351,0.823,1.5e-06,0.11,0.19,177.596,3
Pretty Shining People,2JVwsN6viHjR9t5pCPQ4Br,2019-05-17T08:53:48Z,Staying at Tamara's,2018-03-23,212446,75,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2183639,82,"neo-singer-songwriter,pop",0.584,0.726,1,-4.604,1,0.0371,0.14,0,0.0984,0.398,106.979,4
Favourites (feat. Little Simz),20sKw7pKeM15oAzeo5eQLA,2019-05-17T08:53:48Z,Favourites (feat. Little Simz),2019-05-14,233208,44,THE S.L.P.,4CLxFMLXyDPDiENHddT4DA,1761,32,,0.671,0.881,6,-4.28,0,0.222,0.077,0,0.123,0.802,102.017,4
Brighter Without You,5nnTyRThaCtGnKzrdyJ0uG,2019-05-17T08:53:48Z,Brighter Without You,2019-05-17,176506,30,Be Charlotte,2rTZSJ6JzWaKJaHGbEkRjl,2835,35,uk pop,0.665,0.459,0,-8.973,1,0.0654,0.337,1.28e-06,0.1,0.302,95.899,4
Comfort Zone (feat. Quarterhead),4tvULOtQiimA3XkmRl9xVn,2019-05-17T09:43:58Z,Comfort Zone (feat. Quarterhead),2019-05-17,180133,47,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,209338,73,"deep euro house,german dance,tropical house",0.719,0.627,1,-7.286,0,0.0311,0.00252,0.0536,0.262,0.567,119.913,4
Schau mich nicht so an,5trnCYYLdhd43tUlF9lYYH,2019-05-17T08:53:48Z,Schau mich nicht so an,2019-05-10,196906,57,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,35631,52,german pop,0.724,0.656,1,-5.774,1,0.0341,0.145,6.87e-05,0.368,0.648,124.969,4
Blame It On My Youth,5VYRZ0PFFpHX8Hp0turWxI,2019-05-17T08:53:48Z,Blame It On My Youth,2019-05-08,186000,72,blink-182,6FBDaR13swtiWwGhX1WQsP,4946112,81,"modern rock,pop punk,punk",0.452,0.936,8,-3.028,1,0.19,0.0331,0,0.197,0.666,170.12,4
Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,2019-05-17T08:53:48Z,Moonlight,2018-09-07,173066,83,Gaullin,1aQwKFn00nswXRDUDipm0K,31129,73,lithuanian electronic,0.813,0.761,10,-5.687,0,0.085,0.0529,0.0119,0.337,0.29,124.957,4
Beste Version,5EOGqUg3jjj6pVGrFQMmIY,2019-05-17T08:53:48Z,Beste Version,2019-05-17,200613,43,Vanessa Mai,3WUe8ADT5d65WeByR3ubl7,56173,54,"german pop,schlager",0.515,0.843,2,-8.073,1,0.198,0.0887,0,0.0812,0.358,128.022,4
King Of Capulet,6jOhBsJFa93qJxQy7yjYAT,2019-05-17T08:53:48Z,King Of Capulet,2019-05-17,144271,43,X Lovers,1Hr5Adjkxh6ihfsoahOY38,806,50,,0.826,0.78,6,-4.417,0,0.0474,0.0644,0.000312,0.294,0.55,108.999,4
