track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Walk Me Home,2N9bw4i7YitdN2LDDhMmpe,2019-05-17T17:40:30Z,Hurts 2B Human,2019-04-26,177390,70,P!nk,1KCSPY1glIKqW2TotWuXOR,6329714,88,"dance pop,pop,post-teen pop,r&b",0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,3
"No New Friends (feat. Sia, Diplo, and Labrinth)",6Dma0t0hOe6Bd6u5YRKF3n,2019-05-17T17:40:30Z,"LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,175826,80,Sia,5WUlDfRSoLAfcVSX1WnrxN,11886148,89,"australian dance,australian pop,pop",0.725,0.703,7,-4.641,1,0.0466,0.0632,0.000251,0.14,0.638,106.032,4
Just Us (feat. SZA),0BnTBAGmr9FtYwkZrwKhwS,2019-05-17T17:40:30Z,Father Of Asahd,2019-05-17,221378,66,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,3914964,82,"dance pop,hip hop,miami hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.639,0.859,9,-2.758,0,0.147,0.135,0,0.129,0.566,93.132,4
Do You Mean (with Ty Dolla $ign & bülow),5MvLsT03RBp67RLoeISCdl,2019-05-17T17:40:30Z,World War Joy...Do You Mean,2019-04-26,193175,82,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12125914,90,"edm,electropop,pop,tropical house",0.6,0.666,11,-9.827,1,0.0394,0.102,0,0.118,0.566,99.989,4
Love Me Less (feat. Quinn XCII),2tOOcDDYkh0PSjr6GwPEAJ,2019-05-17T17:40:30Z,Love Me Less (feat. Quinn XCII),2019-04-05,177669,80,MAX,1bqxdqvUtPWZri43cKHac8,286127,76,"dance pop,indie poptimism,pop,post-teen pop,viral pop",0.732,0.856,11,-2.2,0,0.0929,0.0828,0,0.323,0.771,145.034,4
Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP,2019-05-17T17:40:30Z,Free Spirit,2019-04-05,177066,88,Khalid,6LuN9FCkKOj5PcnpouEgny,6349055,97,pop,0.729,0.545,0,-7.818,1,0.0316,0.0174,0.000274,0.369,0.514,103.012,4
Never Go Back,548ZbKPrSF8nxSrRYWUW7X,2019-05-17T17:40:30Z,Exident,2019-04-05,175333,66,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,228222,77,israeli pop,0.531,0.595,7,-6.912,1,0.37,0.0111,0,0.122,0.708,157.656,4
Hanging On,6hDXJbOh3PmAO8d6NSfSEv,2019-05-17T17:40:30Z,Hanging On,2019-01-18,171108,43,Quinn Lewis,5n69lhq7BLWqnSjJgNPRh4,3875,49,,0.86,0.663,7,-8.413,0,0.141,0.444,0.00731,0.122,0.522,105.993,4
"Badass Woman - From The Motion Picture ""The Hustle""",5Glf3tBr73L1fbO9u4pL7r,2019-05-17T17:40:30Z,"Badass Woman (From The Motion Picture ""The Hustle"")",2019-05-10,210035,68,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,7349302,81,"dance pop,hip pop,pop,post-teen pop",0.726,0.869,6,-3.978,1,0.0638,0.0181,0.00022,0.332,0.529,112.966,4
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-05-17T17:40:30Z,Old Town Road,2019-04-05,157066,98,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,228498,90,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-05-17T17:40:30Z,"Don't Forget About Me, Demos",2018-10-16,177666,88,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,69082,77,alternative pop rock,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
Colder When It Rains,0BezB2NH80dqPizOqw8I7S,2019-05-17T17:40:30Z,Colder When It Rains,2019-05-03,174101,61,X Lovers,1Hr5Adjkxh6ihfsoahOY38,806,50,,0.709,0.651,5,-4.762,1,0.0442,0.203,0,0.127,0.589,84.932,4
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,2019-05-17T17:40:30Z,MAP OF THE SOUL : PERSONA,2019-04-12,229773,94,BTS,3Nrfpe0tUJi4K4DXYWgMUX,10875929,94,k-pop,0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,4
Don't Worry Bout Me,507tQXutCPYNFkpOq8tmKF,2019-05-17T17:40:30Z,Don't Worry Bout Me,2019-03-28,208811,82,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5055460,84,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.752,0.706,5,-6.274,1,0.0636,0.0797,0.000752,0.129,0.33,125.041,4
Talk,6TqXcAFInzjp0bODyvrWEq,2019-05-17T17:40:30Z,Free Spirit,2019-04-05,197573,89,Khalid,6LuN9FCkKOj5PcnpouEgny,6349055,97,pop,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,4
Can We Pretend (feat. Cash Cash),68t9p1qXaslaaxk4xhTd4m,2019-05-17T17:40:30Z,Hurts 2B Human,2019-04-26,224360,67,P!nk,1KCSPY1glIKqW2TotWuXOR,6329714,88,"dance pop,pop,post-teen pop,r&b",0.524,0.806,1,-3.447,0,0.406,0.197,0,0.101,0.45,115.172,4
Who Do You Love,11cDEev79fPKi6uJCjUhu8,2019-05-17T17:40:30Z,Who Do You Love,2019-02-07,226746,77,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12125914,90,"edm,electropop,pop,tropical house",0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-05-17T17:40:30Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,86,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10028233,87,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
Drunk And I Miss You,1Y48E203WMGk7j3qUvSBOU,2019-05-17T17:40:30Z,Drunk And I Miss You,2018-09-07,182053,61,KIDDO,5pXe6yFchq1oyYK3rq2A8i,2465,60,scandipop,0.562,0.612,1,-5.204,0,0.0726,0.132,1.28e-06,0.189,0.215,91.655,4
Good,7sRdxkgNb3m3Ciai38ANmd,2019-05-17T17:40:30Z,How To Talk To Strangers,2019-03-01,169760,48,TWIN XL,4OkceeWNJehKqXINqtVeX1,3067,40,,0.617,0.964,1,-3.559,1,0.0355,0.113,0.000225,0.247,0.961,75.978,4
Half Gone,3xKNy9VJrH2hqO3YXV2mKx,2019-05-17T17:40:30Z,Half Gone,2019-03-01,192571,61,Stephen Puth,6B72wjgAkhvxTVCL6xS6mC,5644,56,,0.63,0.561,0,-4.906,1,0.0369,0.0977,0.00023,0.058,0.492,90.932,4
Just You and I,2n48BjaFSczfeIG3HaIaPv,2019-05-17T17:40:30Z,Just You and I,2019-01-11,174982,80,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,392125,80,"indie anthem-folk,pop",0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,4
heavy snow,6RMryEPk1eidOmUwGuMUIV,2019-05-17T17:40:30Z,heavy snow,2019-03-15,221360,51,Christian French,7naAJDAh7AZnf18YYfQruM,28142,65,"indie cafe pop,indie pop rap,pop",0.516,0.519,10,-8.1,0,0.0358,0.254,0,0.106,0.143,120.094,4
"maybe, i'm afraid",4LU5CO0wa6WryKRadMqFZf,2019-05-17T17:40:30Z,finding it hard to smile,2018-08-03,188734,62,lovelytheband,4KJ6jujcNPzOyhdNoiNftp,132417,69,"indie poptimism,modern rock",0.279,0.697,11,-8.355,1,0.0411,0.0645,0,0.431,0.244,70.554,4
"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",2VDTgXwf3F6kcpX4HI0BKy,2019-05-17T17:40:30Z,"LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,195746,74,Sia,5WUlDfRSoLAfcVSX1WnrxN,11886148,89,"australian dance,australian pop,pop",0.585,0.525,7,-5.915,0,0.0817,0.034,2.6e-05,0.139,0.533,167.811,3
Only Everything,1UZxI3ng9Dk1HndwvahyxQ,2019-05-17T17:40:30Z,Only Everything,2019-04-26,172163,52,Quinn Lewis,5n69lhq7BLWqnSjJgNPRh4,3875,49,,0.521,0.566,2,-7.648,1,0.0454,0.212,0,0.109,0.387,87.753,4
Obsessed,7p4tetW3qNwSCz92PLGJg5,2019-05-17T17:40:30Z,Obsessed,2019-03-22,209933,73,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,75686,77,edm,0.582,0.826,11,-4.599,0,0.0612,0.0614,2.7e-06,0.108,0.201,117.948,4
Chances,1D0suElatoKurOqJBol7JV,2019-05-17T17:40:30Z,DNA,2019-01-25,172626,58,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,2180145,80,"boy band,dance pop,europop",0.551,0.755,11,-6.255,1,0.0678,0.0178,0,0.466,0.296,109.835,4
Favorite Sound,63ZtaTHM7Cu3JEca5xrWi3,2019-05-17T17:40:30Z,Favorite Sound,2019-03-08,205714,64,Audien,4xnMDfgEmXZEEDdITKcGuE,121335,65,"big room,edm,electro house,pop,pop edm,progressive electro house,progressive house,tropical house,uplifting trance",0.631,0.722,1,-3.031,1,0.0324,0.311,0,0.153,0.443,105.045,3
Two of Us,3fd5jcZKAzoiivM4ZDwhyU,2019-05-17T17:40:30Z,Two of Us,2019-03-07,217855,77,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,2154725,72,"dance pop,pop,post-teen pop",0.614,0.605,0,-5.411,1,0.0321,0.226,0,0.124,0.329,127.107,4
Love Letter,380v3gb384xxUt8A3C8aqt,2019-05-17T17:40:30Z,"The Sun Will Come up, The Seasons Will Change",2019-02-01,214440,49,Nina Nesbitt,7AzjETXRUKNRSJHMW9GIqd,169227,73,"australian pop,dance pop,electropop,indie cafe pop,neo-singer-songwriter,pop,post-teen pop,tropical house,uk pop",0.688,0.676,5,-6.869,0,0.0317,0.0413,0,0.28,0.741,135.996,4
