track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Me Enamoré de Ti,6dKsUc346j7BM8RCH3prw9,2019-05-17T11:10:27Z,11:11,2019-05-17,199373,56,Maluma,1r4hJ1h58CWwUQe3MxPuau,15468736,92,reggaeton,0.778,0.807,9,-3.62,1,0.0488,0.366,0,0.585,0.639,94.019,4
Cuaderno,7anSoGdgtmJTAPZBzcPhO6,2019-05-10T04:25:08Z,Climaxxx,2019-05-10,286506,75,Dalex,0KPX4Ucy9dk82uj4GpKesn,61514,85,reggaeton flow,0.681,0.648,1,-5.021,0,0.38,0.524,0,0.104,0.687,172.019,4
GangaXtrip,5AHIUlK50bxzTBbGKFymgV,2019-04-26T15:08:06Z,Gangalee,2019-04-26,168520,66,Farruko,329e4yvIujISKGKz1BZZbO,5492458,94,"latin,reggaeton,trap latino,tropical",0.834,0.792,1,-3.523,1,0.0577,0.151,8.23e-05,0.0515,0.82,88.011,4
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,2019-05-10T05:10:26Z,Soltera (Remix),2019-05-10,266086,86,Lunay,47MpMsUfWtgyIIBEFOr4FE,149446,82,reggaeton flow,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,4
Baila Baila Baila - Remix,7mWFF4gPADjTQjC97CgFVt,2019-04-25T20:15:56Z,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",2019-04-25,235284,85,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,16526755,95,"reggaeton,trap latino",0.785,0.572,2,-7.504,1,0.123,0.0598,0,0.218,0.49,100.016,4
Que Mas Pues - Remix,1k1CJlU1eAEpAbNK0TVeKD,2019-04-11T11:54:03Z,Que Mas Pues (Remix),2019-04-11,305962,76,Sech,77ziqFxp5gaInVrF2lj4ht,239549,89,panamanian pop,0.648,0.661,11,-5.027,1,0.195,0.121,2.33e-06,0.12,0.813,113.363,5
Ya Se Enteró,6PfG8ZmsaDvyW6XIiCN5TI,2019-03-20T02:58:19Z,Ya Se Enteró,2019-03-20,202330,59,Tres Dedos,4U7l68MAeVO9CLljg04lrF,4719,52,"ecuadorian pop,pop reggaeton",0.71,0.68,7,-3.543,1,0.116,0.189,0,0.117,0.787,176.018,4
La Boca,0UQwlF2pRkr1lMN6kNNUj3,2019-05-03T11:00:45Z,Para Aventuras y Curiosidades,2019-05-03,206279,76,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,997582,82,"latin,latin pop,tropical",0.618,0.795,2,-1.8,1,0.113,0.0655,0,0.309,0.76,185.901,4
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,2019-04-19T22:46:22Z,Sueños,2019-04-19,225933,90,Sech,77ziqFxp5gaInVrF2lj4ht,239549,89,panamanian pop,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,4
No Se Me Quita (feat. Ricky Martin),1GBLO0NFODuL31A5fgw0uR,2019-05-17T11:02:03Z,11:11,2019-05-17,219933,57,Maluma,1r4hJ1h58CWwUQe3MxPuau,15468736,92,reggaeton,0.864,0.869,7,-2.963,1,0.139,0.146,0,0.063,0.853,99.988,4
Tiene Novio,5V4u2EwJZLs03lWJ8PH9DA,2019-04-21T23:09:17Z,Sueños,2019-04-19,220945,74,Sech,77ziqFxp5gaInVrF2lj4ht,239549,89,panamanian pop,0.711,0.716,5,-5.914,1,0.0424,0.146,4.05e-06,0.0542,0.842,92.996,4
Ron,5F3YKhRWVasnDOv2ArVBZx,2019-05-17T12:48:38Z,Ron,2019-05-10,155866,53,Feid,2LRoIwlKmHjgvigdNGBHNo,128498,82,"colombian pop,pop reggaeton,reggaeton flow",0.782,0.622,8,-5.732,0,0.0593,0.155,0,0.332,0.96,159.981,4
No Te Hagas la Loca,4NGbpyKrKMlJX4kP8iTQFJ,2019-04-13T11:11:07Z,No Te Hagas la Loca,2019-04-12,240000,76,Noriel,3RtNN1VnooWEn3KQk03DUL,2207026,80,"latin,latin hip hop,reggaeton flow,trap latino,tropical",0.775,0.666,2,-5.557,1,0.0878,0.0379,0.000806,0.083,0.659,91.001,4
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,2019-03-22T09:36:07Z,Te Robaré,2019-03-22,201818,91,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9187065,93,"latin,latin hip hop,pop,reggaeton,tropical",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,4
No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,2019-05-17T11:53:37Z,No Me Conoce (Remix),2019-05-17,307546,60,Jhay Cortez,0EFisYRi20PTADoJrifHrz,101055,71,"latin,latin hip hop,reggaeton flow,trap latino,tropical",0.794,0.79,10,-3.855,0,0.0599,0.144,0,0.0893,0.577,91.984,4
Muévelo,48QNY2CFdr5IKvyfMK3OCI,2019-05-17T14:34:24Z,Muévelo,2019-05-17,190613,36,Thomaz,0oJmDwK2QxYDXfkdlTvc4C,94,51,,0.784,0.723,10,-4.094,0,0.181,0.234,4.81e-05,0.0692,0.941,180.067,4
No Lo Trates,4gqMVEJSaL5nNeKj5WmVoT,2019-04-26T14:24:17Z,No Lo Trates,2019-04-26,198453,79,Pitbull,0TnOYISbd1XYRBk9myaseg,6908270,84,"dance pop,latin,miami hip hop,pop,pop rap",0.834,0.808,11,-2.597,1,0.0542,0.0569,0.00052,0.222,0.829,104.026,4
Si Pudiera,0Z7eO97bY3CaU64auUfa85,2019-05-02T21:42:09Z,Si Pudiera,2018-10-05,222746,48,Christian Daniel,2fC8dVxeS2bsfIDvFj1M4V,42264,59,"latin,latin arena pop",0.667,0.717,0,-5.03,1,0.172,0.182,0,0.213,0.351,176.09,4
Dispuesto (feat. Ozuna),0L3DcFGrGtixx5MmxJbJNI,2019-05-17T11:02:12Z,11:11,2019-05-17,162040,60,Maluma,1r4hJ1h58CWwUQe3MxPuau,15468736,92,reggaeton,0.868,0.698,2,-3.23,1,0.0827,0.203,0,0.734,0.44,92.015,4
Tranqui,5GPyA4GhYrr4xp6Sbeb7C6,2019-05-07T16:08:16Z,Tranqui,2019-01-25,197812,49,Tres Dedos,4U7l68MAeVO9CLljg04lrF,4719,52,"ecuadorian pop,pop reggaeton",0.7,0.725,7,-4.714,1,0.0334,0.317,0,0.149,0.738,96.94,4
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-05-17T11:01:54Z,11:11,2019-05-17,175733,67,Maluma,1r4hJ1h58CWwUQe3MxPuau,15468736,92,reggaeton,0.777,0.712,10,-4.84,1,0.277,0.217,0,0.091,0.68,95.692,4
La Ocasión Perfecta,0Y0QTT6W7zRVKv9hWdYkCg,2019-05-03T12:43:11Z,OCEAN,2019-05-03,222693,62,Karol G,790FomKkXshlbRYZFtlgla,4957160,87,reggaeton,0.876,0.621,1,-5.071,1,0.0564,0.0421,1.11e-06,0.0858,0.497,132.948,4
Yo No Me Enamoro,3FdkRNFRVrgd9rkFUDni3y,2019-05-10T04:42:19Z,Climaxxx,2019-05-10,211666,59,Dalex,0KPX4Ucy9dk82uj4GpKesn,61514,85,reggaeton flow,0.74,0.789,10,-4.478,0,0.172,0.228,0,0.196,0.789,179.873,4
Instinto Natural (feat. Sech),63LC0DlzmPd9TOYON8blfc,2019-05-17T11:54:00Z,11:11,2019-05-17,194320,54,Maluma,1r4hJ1h58CWwUQe3MxPuau,15468736,92,reggaeton,0.812,0.683,1,-3.483,0,0.0818,0.161,2.58e-05,0.174,0.87,154.028,4
PLAYBOY,2yHH0h2peo38oKtGnWkDvg,2019-04-26T12:14:50Z,PLAYBOY,2019-04-26,180833,53,Chris Tamayo,3E6iMhi3fvbMBSwZk8aeeJ,516,44,,0.849,0.498,1,-10.178,1,0.215,0.215,2.24e-06,0.107,0.524,89.982,4
badwine,3HNSJ9jfe42rn6OpjZNYv4,2019-05-17T12:11:27Z,19,2019-05-17,139360,27,Feid,2LRoIwlKmHjgvigdNGBHNo,128498,82,"colombian pop,pop reggaeton,reggaeton flow",0.704,0.658,1,-6.915,1,0.18,0.45,0.0081,0.101,0.704,185.951,4
Sola,1bBIGQbxipRjXwN8B3QzsQ,2019-05-10T05:06:37Z,Climaxxx,2019-05-10,175000,55,Dalex,0KPX4Ucy9dk82uj4GpKesn,61514,85,reggaeton flow,0.752,0.639,11,-6.335,0,0.0966,0.57,0.000597,0.0772,0.603,167.972,4
Celos,04KzoYWGpQ5ICgaKmJ8tHH,2018-11-08T22:37:08Z,Celos,2018-10-11,208909,50,C4 Champion,6B28cPFuP8WixUDuY5c5Ji,60,38,,0.792,0.688,1,-3.675,1,0.0751,0.0501,0.000262,0.255,0.962,89.989,4
Date La Vuelta,5lwVd35Zg6DJ4qibVMq99H,2019-04-24T13:55:02Z,Date La Vuelta,2019-04-24,219773,81,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,5950066,84,"latin,latin pop,pop",0.747,0.825,6,-2.903,1,0.0566,0.0487,0,0.107,0.866,94.006,4
La Vi,4dmrgNtjg0K9oreQvXAmI5,2019-04-05T15:09:01Z,La Vi,2019-04-05,178125,58,Marko Silva,0lfg4jmiStCcCn1lPgkvCY,6802,53,reggaeton flow,0.883,0.658,9,-6.029,1,0.137,0.154,2.17e-06,0.0838,0.62,95.008,4
Comerte A Besos,6Rh1rwJagYUEbzoAXtu1LA,2019-04-26T12:14:35Z,Comerte A Besos,2019-04-26,230320,73,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,1157757,85,"latin,reggaeton,reggaeton flow,tropical",0.798,0.721,11,-4.586,1,0.158,0.152,0,0.0814,0.509,88.04,4
